,지역구,의료기관,주소,위도,경도,상세주소,전화번호
66,마포구,김유광정신건강의학과,양화로 50,37.5495514,126.9144982,302호,02.322.0082
67,마포구,노정신건강의학과,신촌로 266-1,37.5571035,126.9552822,3층,02.365.8558
68,마포구,미소정신건강의학과,마포대로 52,37.5436856,126.9510116,207호,02.3273.9591
69,마포구,온안정신건강의학과,마포대로 92,37.5436856,126.9510116,효성해링턴스퀘어 A동 2층,02.702.1008
70,마포구,해람정신건강의학과의원,양화로 178,37.5575216,126.9251425,4층,02.723.8189
71,마포구,홍대성모 정신건강의학과의원,양화로 166,37.556728,126.92418335000000,미래프라자 12층,02.336.0166
72,서대문구,서대문 봄 정신건강의학과의원,통일로 131,37.5743387,126.9580677,2층,02.365.1334
73,서대문구,안세 정신과의원,신촌로 93,37.5556915,126.9365861,,02.336.0734
74,서대문구,연세소울정신건강의학과의원,통일로 464,37.5743387,126.9580677,5층,02.395.7737
75,서대문구,한혜성 조이의원,수색로 56,37.5695009,126.9145694,511,02.6949.5551
76,서대문구,홍제정신건강의학과의원,통일로 476,37.5743387,126.9580677,204호,02.394.0887
77,은평구,동민정신건강의학과,은평로 227,37.5976981,126.9103819,,02.353.7575
78,은평구,마음그림정신건강의학과,진관2로 19,37.6347738,126.9191377,휴먼프라자I 301호,02.6380.6167
79,은평구,문화정신건강의학과,은평로 194,37.5976981,126.9103819,,02.382.0885
80,은평구,서울지음정신건강의학과,통일로 840,37.5743387,126.9580677,범서빌딩 3층,02.356.6212
81,은평구,성모서울정신건강의학과,통일로 856,37.5743387,126.9580677,극동메트로타워 3층,02.6956.7715
82,은평구,연세숲정신건강의학과,진관2로 15-46,37.6386485,126.9189299,메트로프라자 601호,02.352.1872
83,은평구,이범정정신건강의학과,통일로 863,37.5743387,126.9580677,유화프라자 3층,02.383.3155
