,지역구,의료기관,주소,위도,경도,상세주소,전화번호
109,성북구,무지개정신건강의학과의원,동소문로 125,37.5941555,127.0182168,골든타워 8층 5호,02.928.8899
110,성북구,아린정신건강의학과의원,도봉로 3,37.6897763,127.04614834779300,4층 401호,02.989.7907
111,성북구,예온정신건강의학과의원,보문로 183,37.5901772,127.0147873,논현빌딩 302호,02.6954.7560
112,성북구,정릉손정신건강의학과,보국문로 43,37.6081723,127.0098893,3층,02.918.7582
113,성북구,하나정신건강의학과의원,동소문로 97,37.6073574,127.0285694,삼경빌딩 5층,02.922.3075
114,강북구,같은마음정신건강의학과의원,도봉로 324,37.6198903,127.0288685,글로리타워 8층,02.903.7557
115,강북구,김영우정신건강의학과의원,도봉로 321,37.6779322,127.0451858,,02.903.7201
116,강북구,마음벗김종범정신과의원,도봉로 329,37.6198903,127.0288685,5층,02.905.3271
117,강북구,미아정신건강의학과,도봉로 40,37.6891881,127.0465716,대경빌딩 4층,02.985.3364
118,강북구,박동언정신건강의학과,솔샘로 233,37.6129866,127.007746,동북프라자 3층 313호,02.6952.9777
119,강북구,박희관정신건강의학과의원,도봉로 328,37.6712524,127.0440857,가든타워 306호,02.990.1116
120,강북구,행복찾기정신과의원,도봉로 52,37.6198903,127.0288685,M층,02.981.7772
121,강북구,황규혁정신건강의학과의원,도봉로 34,37.6619975,127.0427722,트레지오빌딩 5층,02.945.7751
122,도봉구,마음편한 정신건강의학과 의원,노해로65길 11,37.652,127.0463641,한성빌딩 302호,02.991.9596
123,도봉구,푸른고래 정신건강의학과 의원,도봉로150길 43,37.666019,127.0452408,"207,208호",070.8880.9999
124,노원구,김영헌정신과의원,동일로 1550,37.6242653,127.0734496,208호,02.952.3735
125,노원구,디딤신경정신과의원,노해로 488,37.64808,127.0264059,5층,02.909.8782
126,노원구,박재순신경정신과의원,노해로 495,37.64808,127.0264059,304호,02.952.5200
127,노원구,선정신건강의학과의원,동일로204가길 34,37.64129015,127.06782044088100,307호,02.948.4482
128,노원구,성모나무정신건강의학과의원,화랑로 337,37.6050969,127.0455581,3층 303호,02.6925.0002
129,노원구,연세소울정신건강의학과의원,동일로 1392,37.6242653,127.0734496,5층,02.933.7501
130,노원구,연세힐정신건강의학과의원,한글비석로 270,37.65887,127.07371,스카이타워 2층,02.935.8305
131,노원구,전성일정신과의원,노해로 457,37.64808,127.0264059,5층,02.938.7997
132,노원구,태능성심정신건강의학과의원,동일로 987,37.6242653,127.0734496,2층,02.979.5757
133,중랑구,마음담은정신건강의학과의원,사가정로 401,37.5807664,127.0894034,5층,02.2038.3070
134,중랑구,성모누리정신건강의학과의원,면목로 229,37.5945908,127.0859844,3층,02.6952.5222
135,중랑구,성모마음정신건강의학과의원,동일로 903,37.6242653,127.0734496,,02.972.4300
136,중랑구,세화정신건강의학과의원,면목로 456,37.5945908,127.0859844,한성빌딩 3층,02.439.5522
137,중랑구,이종일정신건강의학과의원,사가정로 384,37.580511,127.0894792,5층,02.2209.2209
