,지역구,의료기관,주소,위도,경도,상세주소,전화번호
190,강남구,강남숲정신건강의학과의원,논현로85길 7,37.499178,127.0368912,2층,02.555.7691
191,강남구,강남하늘정신건강의학과의원,봉은사로 105,37.5056403,127.0281601,동양빌딩 1동 501호,02.515.1330
192,강남구,기린정신건강의학과의원,봉은사로 474,37.5056403,127.0281601,쌍용플래티넘상가 203호,02.556.1359
193,강남구,김정일정신건강의학과 의원,선릉로 603,37.5071455,127.0468672,3층,02.540.7576
194,강남구,나눔정신건강의학과의원,삼성로 38,37.5067702,127.0567976,개포빌딩 403호,02.445.5575
195,강남구,마음누리정신과의원,삼성로 155,37.49391,127.0627563,대치퍼스트빌딩 4층,02.556.6188
196,강남구,마음쉼정신건강의학과의원,강남대로 238,37.4783684,127.0387217,스카이쏠라빌딩 10층,02.6475.7575
197,강남구,빛날정신건강의학과의원,학동로 342,37.516757550000000,127.04090770901200,SK 허브블루 210호,02.6956.4545
198,강남구,생각과마음의원,남부순환로381길 50,37.4884318,127.0479097,,02.574.5748
199,강남구,서울성모정신건강의학과의원,광평로 56길 8-13,0.0,0.0,수서타워 3층,02.6952.6119
200,강남구,서울포레스트정신건강의학과의원,도산대로 420,37.5179769,127.0242574,청담스퀘어212호,02.6480.8777
201,강남구,선릉숲정신건강의학과의원,테헤란로 401,37.4980289,127.0276671,남경센터빌딩 6층8층,02.555.0405
202,강남구,성모힐정신건강의학과의원,강남대로 328,37.4783684,127.0387217,강남쉐르빌 2F,02.2138.5568
203,강남구,아이나래 정신건강의학과,도곡로 408,37.4966164,127.0551391,디아크빌딩 4층 406호,02.554.2999
204,강남구,연세라이프정신건강의학과의원,테헤란로 111,37.4980289,127.0276671,준경타워 4층,02.558.7003
205,강남구,연세채움정신건강의학과의원,테헤란로 339,37.4980289,127.0276671,선릉빌딩 8층,02.568.2075
206,강남구,예선정신건강의학과의원,테헤란로4길 6,37.4968648,127.0302159,센트럴푸르지오시티 3층 305호,02.6207.3140
207,강남구,이승민정신건강의학과의원,남부순환로 2615,37.4819546,126.9451712,303호,02.577.4745
208,강남구,이한정신건강의학과의원,선릉로 311,37.5071455,127.0468672,한티빌딩 305호,02.565.1333
209,강남구,탑정신건강의학과,강남대로 408,37.4783684,127.0387217,YBM강남센터 12층 1204호,02.568.7008
210,강남구,토마스정신과의원,논현로150길 26,37.5195396,127.0303764,영인빌딩 5층,02.543.6598
211,강남구,행복정신건강의학과의원,강남대로 240,37.4783684,127.0387217,SK 허브 프리모 2층 202호,02.577.7810
212,서초구,강남푸른정신건강의학과의원,강남대로 345,37.4783684,127.0387217,삼양빌딩 5층 501호,02.523.7008
213,서초구,개운정신건강의학과의원,동작대로 114,37.4917758,126.9826412,유문빌딩 5층,02.534.5568
214,서초구,김병후정신건강의학과의원,반포대로 287,37.5047631,127.0013882,"래미안퍼스티지중심상가 407, 408-1호",02.323.9197
215,서초구,밝은서울정신건강의학과의원,동작대로 70,37.4917758,126.9826412,하나빌딩 4층,02.597.8399
216,서초구,샘신경정신과의원,사평대로55길 8,37.5079774,127.0217574,반포동신영빌딩 3층,02.3443.0075
217,서초구,서울청정신건강의학과의원,강남대로 403,37.4984783,127.02682950574200,5층 2호,02.534.2119
218,서초구,소망정신건강의학과의원,효령로 260,37.4768413,126.9863962,서초빌딩 4(일부)층,02.3463.7793
219,서초구,연세새힘정신건강의학과의원,강남대로 381,37.49663915,127.02766264911200,두산베어스텔 304호,02.525.0011
220,서초구,연세손정신건강의학과의원,남부순환로 2614,37.4819546,126.9451712,한솔로이젠트 302호,02.529.7599
221,서초구,연세정신건강의학과의원,서초대로 24,37.4977018,127.0266871,세한빌라 2층,02.523.2211
222,서초구,영동신경정신과의원,서초중앙로 146,37.5031307,127.0112106,경원빌딩 3층,02.592.3742
223,서초구,이선이정신건강의학과의원,서초중앙로 164,37.5031307,127.0112106,신한국빌딩 7층,02.537.9860
224,서초구,최명기정신건강의학과의원,잠원로 24,37.507128250000000,127.00988270468500,반포자이플라자 408-1호,02.6207.3377
225,서초구,최신경정신과의원,강남대로53길 7,37.4941516,127.0275072,강남애니타워 302호,02.2267.3970
