,지역구,의료기관,주소,위도,경도,상세주소,전화번호
84,용산구,노만희정신건강의학과의원,한강대로21길 17,37.526631,126.9646707,신화빌딩 7층,02.793.0945
85,용산구,오늘정신건강의학과의원,한강대로 69,37.5362589,126.974078,"용산푸르지오써밋 2층 205, 206호",02.797.8272
86,용산구,정담정신건강의학과의원,한강대로 259,37.5362589,126.974078,고려에이트리움 403호,02.6954.1313
87,용산구,지혜샘정신건강의학과의원,한강대로 297,37.544764,126.9717932,우신빌딩 401호,02.3272.8275
88,중구,당신의숲정신건강의학과의원,남대문로9길 6,37.56688645,126.98190569770100,다동대한빌딩 4층,02.2135.1898
89,중구,맑은마음의원,다산로 137,37.5561013,127.0111119,다산빌딩 3층,02.2238.3680
90,중구,민트정신건강의학과의원,서소문로 129,37.5615397,126.9681288,경서빌딩 201호,02.3789.7359
91,중구,상록수정신과의원,퇴계로 436-1,37.5606256,126.9826654,2층,02.2252.4657
92,중구,수정신건강의학과의원,동호로 180,37.5589771,127.0061761,대승빌딩 203호,02.2039.7575
93,중구,시청역성모정신건강의학과의원,세종대로 74,37.56269745,126.97685938228900,삼정빌딩 302호,02.318.5330
94,종로구,경희궁삼성정신건강의학과의원,송월길 99,37.5695902,126.9634175,경희궁자이 2단지 2207호,02.737.5577
95,종로구,광화문숲정신건강의학과의원,종로3길 30,37.5716411,126.97941415,6층,02.722.7977
96,종로구,동남정신과의원,북촌로5길 64,37.57993875,126.98150376173100,3층,02.363.0412
97,종로구,라움정신건강의학과의원,새문안로3길 15,37.5731009,126.9726539,동원빌딩 2층,02.722.7779
98,종로구,마음공간정신건강의학과의원,세종대로 159,37.5702803,126.9770763,9층,02.723.6463
99,종로구,마인드힐정신건강의학과의원,새문안로 69,37.5703747,126.97211661449100,구세군회관 706호,02.720.1566
100,종로구,명륜신경정신과의원,대학로 144,37.5839822,127.0020846,중원빌딩,02.762.5815
101,종로구,박종철신경정신과의원,새문안로5가길 3-1,37.5748012,126.9731609,505호,02.735.0987
102,종로구,박창증정신건강의학과의원,종로 22,37.5698831,126.9797107,인주빌딩 604호,02.723.2375
103,종로구,연세늘정신건강의학과의원,종로 33,37.57096,126.9814392,그랑서울 별관(청진상점가) 3층,02.2158.7810
104,종로구,연세정신건강의학과의원,종로 335,37.573106,127.0148389,원풍빌딩 5층,02.765.9441
105,종로구,연세필정신건강의학과의원,종로 19,37.571004,126.9799994,"르메이에르종로타운 413-2호, 414-1호",02.723.9114
106,종로구,우행원신경정신과의원,종로 329-1,37.5728317,127.0142205,2층,02.742.0002
107,종로구,이상연신경정신과의원,통일로 162,37.5743387,126.9580677,3층,02.737.5511
108,종로구,임계원정신건강의학과의원,혜화로 8,37.5926473,126.9980527,2층,02.742.4999
