,지역구,의료기관,주소,위도,경도,상세주소,전화번호
138,동대문구,동대문구보건소 지역보건과,,46.3144754,11.0480288,,02.2127.5188
139,동대문구,강신삼신경정신과의원,홍릉로 5,37.5808148,127.0448706,,02.969.9491
140,동대문구,김표한정신건강의학과의원,망우로21길 4,37.5906263,127.0630475,,02.2212.2040
141,동대문구,더 봄 정신건강의학과의원,회기로 154,37.5899435,127.0567032,준성빌딩 2층,02.962.6300
142,동대문구,도연정신건강의학과의원,망우로 74,37.589595700000000,127.06137579719300,2층,02.2242.8992
143,동대문구,마음과마음정신건강의학과의원,고산자로 399,37.5714239,127.0378401,3층,02.6959.0456
144,동대문구,박신경정신과의원,왕산로 45,37.5804178,127.0454416,,02.923.7610
145,동대문구,서울현정신건강의학과의원,이문로 98,37.5932665,127.058122,3층,02.6949.5663
146,동대문구,오정신건강의학과의원,왕산로32길 7,37.5787168,127.0418381774860,BYC청량리오피스텔 502,02.969.7341
147,동대문구,이성주정신건강의학과의원,왕산로 176,37.5804178,127.0454416,5층,02.959.6212
148,동대문구,지안정신건강의학과의원,천호대로 273,37.5590865,127.0751644,경원빌딩 10층,02.6217.7575
149,동대문구,최태영정신건강의학과의원,천호대로 295,37.5590865,127.0751644,307호,02.2245.9940
150,성동구,김용호정신건강의학과의원,왕십리로 410,37.5614923,127.0349514,센트라스 L동 1층,02.2291.4002
151,성동구,서울숲봄정신건강의학과의원,아차산로 41,37.5461477,127.105331,안동빌딩 201호,02.6954.7503
152,성동구,성모온정신건강의학과의원,독서당로 302,37.5477024,127.0207921,대도빌딩 3층,02.2295.3555
153,성동구,소정정신건강의학과의원,아차산로 42,37.5461477,127.105331,정명빌딩 8층,02.469.0900
154,성동구,엘림신경정신과의원,왕십리로 294-2,37.5614923,127.0349514,,02.2299.1942
155,성동구,이재진정신건강의학과의원,행당로 87,37.5580603,127.0316639,대림리빙플라자 402호,02.2295.2544
156,성동구,프렌드정신건강의학과의원,왕십리로 315,37.5614923,127.0349514,한동타워 4층,02.2281.8593
157,성동구,해민정신건강의학과의원,왕십리로 309,37.5614923,127.0349514,이스타빌 3층,02.2292.1535
158,광진구,건대하늘정신건강의학과의원,아차산로 213,37.5374052,127.0872498,웅진빌딩 4층,02.463.1331
159,광진구,동서울정신건강의학과의원,자양로 186-1,37.5366704,127.0835474,,02.446.1172
160,광진구,성모평온한마음의원,능동로 290,37.5398794,127.07056,삼일빌딩 7층,02.6237.9357
161,광진구,조근호정신건강의학과의원,천호대로 559,37.55732375,127.08055483878300,501호,02.2201.2900
