,지역구,의료기관,주소,위도,경도,상세주소,전화번호
41,금천구,가산성모정신건강의학과의원,가산디지털1로 186,37.4787146,126.8823272,5층 516호,02.6952.7551
42,금천구,금천키다리정신건강의학과의원,시흥대로 403,37.4698141,126.8974927,셈프레팜 9층,02.857.7015
43,금천구,나래정신건강의학과의원,시흥대로 214,37.4539727,126.9012257,602호,02.802.3180
44,금천구,에스정신건강의학과의원,시흥대로 399,37.4693592,126.8970019,시티렉스 2층 201호,02.809.3088
45,금천구,정경화 정신건강의학과의원,독산로 134,37.4543383,126.9068329,삼보빌딩,02.894.7875
46,관악구,가람신경정신과의원,시흥대로 554,37.4824074,126.9015858,"한미빌딩 2,3층",02.859.8500
47,관악구,강신경정신과의원,신림로 344,37.4851585,126.9300525,SK허브그린 301호,02.871.7121
48,관악구,마나스정신건강의학과의원,장군봉1길 56,37.4816252,126.9409958,3층,02.6267.7788
49,관악구,서울디딤정신건강의학과의원,남부순환로 1905,37.4819546,126.9451712,2층,02.872.0675
50,관악구,서울탑정신건강의학과의원,관악로 168,37.4801769,126.9530995,디오슈페리움2단지 304호,02.883.2082
51,관악구,성모새봄정신건강의학과의원,관악로 203,37.4887393,126.9577365,6층,02.6951.3344
52,관악구,신림정신건강의학과의원,신림로 366,37.4829857,126.9297707,정림빌딩 7층,02.889.7582
53,관악구,신림평온정신건강의학과의원,남부순환로 1619-1,37.4847143,126.9306817,4층,02.6925.5515
54,관악구,연세라온정신과의원,호암로 598,37.4705725,126.9336659,동방빌딩 401호,02.885.1857
55,관악구,연세훈정신건강의학과의원,관악로 195,37.4887393,126.9577365,관악 위버폴리스 301호,02.888.9860
56,관악구,유정신경정신과의원,남부순환로 1808,37.4810982,126.9509341,관악센츄리타워,02.872.9278
57,관악구,한빛정신건강의학과의원,남부순환로 1844,37.4819546,126.9451712,한일빌딩 3층,02.887.2158
58,관악구,한솔신경정신과의원,난곡로 268,37.4683168,126.9201938,3층,02.830.7588
59,동작구,가족사랑서울정신건강의학과의원,보라매로 113,37.4981277,126.9280437,코스모빌딩,02.812.9494
60,동작구,나루 정신건강의학과 의원,노량진로 140,37.5126442,126.9415901,1층상가 113호,02.817.8275
61,동작구,마음봄 정신건강의학과,상도로 247,37.5050579,126.9462688,,02.812.9888
62,동작구,변재영정신건강의학과의원,장승배기로 98,37.5064177,126.9392147,장승빌딩 8층,02.815.0353
63,동작구,봄 정신건강의학과,상도로 69,37.5029252,126.9358591, 상원빌딩,02.812.2226
64,동작구,사당숲 정신건강의학과 의원,동작대로 13,37.4917758,126.9826412,7층,02.521.0923
65,동작구,세종신경정신건강의학과의원,사당로 220,37.4843889,126.9718021,,02.596.0596
